Date,CC
01/01/2020,0
10/02/2020,1
11/02/2020,1
12/02/2020,1
13/02/2020,1
14/02/2020,1
15/02/2020,1
16/02/2020,1
17/02/2020,1
18/02/2020,1
19/02/2020,1
20/02/2020,2
21/02/2020,2
22/02/2020,3
23/02/2020,4
24/02/2020,5
25/02/2020,5
26/02/2020,5
27/02/2020,5
28/02/2020,5
29/02/2020,5
01/03/2020,7
02/03/2020,10
03/03/2020,11
04/03/2020,12
05/03/2020,18
06/03/2020,23
07/03/2020,27
08/03/2020,36
09/03/2020,45
10/03/2020,52
11/03/2020,61
12/03/2020,75
13/03/2020,97
14/03/2020,115
15/03/2020,142
16/03/2020,157
17/03/2020,180
18/03/2020,196
19/03/2020,221
20/03/2020,243
21/03/2020,263
22/03/2020,289
23/03/2020,310
24/03/2020,328
25/03/2020,351
26/03/2020,365
27/03/2020,382
28/03/2020,407
29/03/2020,426
30/03/2020,451
31/03/2020,468
01/04/2020,495
02/04/2020,512
03/04/2020,539
04/04/2020,556
05/04/2020,583
06/04/2020,602
07/04/2020,625
08/04/2020,645
09/04/2020,681
10/04/2020,715
11/04/2020,759
12/04/2020,792
13/04/2020,816
14/04/2020,849
15/04/2020,878
16/04/2020,948
17/04/2020,980
18/04/2020,1020
19/04/2020,1037
20/04/2020,1098
21/04/2020,1134
22/04/2020,1175
23/04/2020,1220
24/04/2020,1261
25/04/2020,1362
26/04/2020,1416
27/04/2020,1477
28/04/2020,1498
29/04/2020,1523
30/04/2020,1543
01/05/2020,1566
02/05/2020,1587
03/05/2020,1606
04/05/2020,1624
05/05/2020,1649
06/05/2020,1665
07/05/2020,1688
08/05/2020,1701
09/05/2020,1718
10/05/2020,1730
11/05/2020,1750
12/05/2020,1773
13/05/2020,1794
14/05/2020,1808
15/05/2020,1828
16/05/2020,1844
17/05/2020,1856
18/05/2020,1871
19/05/2020,1883
20/05/2020,1898
21/05/2020,1906
22/05/2020,1913
23/05/2020,1922
24/05/2020,1931
25/05/2020,1946
26/05/2020,1952
27/05/2020,1957
28/05/2020,1961
29/05/2020,1968
30/05/2020,1971
31/05/2020,1975
01/06/2020,1986
02/06/2020,1989
03/06/2020,1999
04/06/2020,2006
05/06/2020,2010
