Date,R
01/01/2020,0
01/02/2020,0
09/03/2020,2.528869825
10/03/2020,2.273635472
11/03/2020,2.046983664
12/03/2020,1.954595468
13/03/2020,1.858633503
14/03/2020,1.999693434
15/03/2020,1.95133473
16/03/2020,1.917698771
17/03/2020,1.670031862
18/03/2020,1.6222363
19/03/2020,1.491264137
20/03/2020,1.430299706
21/03/2020,1.29343905
22/03/2020,1.211931027
23/03/2020,1.139335572
24/03/2020,1.140750012
25/03/2020,1.068987104
26/03/2020,1.093959245
27/03/2020,0.998288804
28/03/2020,0.955784883
29/03/2020,0.999132992
30/03/2020,0.957091466
31/03/2020,0.991904467
01/04/2020,0.992554429
02/04/2020,1.023587783
03/04/2020,1.043521566
04/04/2020,1.105404285
05/04/2020,1.030162589
06/04/2020,1.069562558
07/04/2020,1.017849335
08/04/2020,1.048509001
09/04/2020,0.995192092
10/04/2020,1.116522781
11/04/2020,1.145853174
12/04/2020,1.277688726
13/04/2020,1.24761446
14/04/2020,1.200424531
15/04/2020,1.194141904
16/04/2020,1.186313774
17/04/2020,1.299336074
18/04/2020,1.215010674
19/04/2020,1.127556084
20/04/2020,1.020028102
21/04/2020,1.157076044
22/04/2020,1.142908025
23/04/2020,1.147275881
24/04/2020,1.01574146
25/04/2020,1.032152437
26/04/2020,1.250388676
27/04/2020,1.332317197
28/04/2020,1.238673481
29/04/2020,1.114936131
30/04/2020,1.026496676
01/05/2020,0.940134439
02/05/2020,0.894564695
03/05/2020,0.67638359
04/05/2020,0.607864464
05/05/2020,0.521392683
06/05/2020,0.605820907
07/05/2020,0.64431213
08/05/2020,0.728642848
09/05/2020,0.738495348
10/05/2020,0.769647942
11/05/2020,0.77869212
12/05/2020,0.840516914
13/05/2020,0.869911661
14/05/2020,0.939484457
15/05/2020,0.896039699
16/05/2020,0.969522935
17/05/2020,0.979358987
18/05/2020,0.986033071
19/05/2020,0.952764786
20/05/2020,0.875515468
21/05/2020,0.849620665
22/05/2020,0.832586875
23/05/2020,0.755443516
24/05/2020,0.735029298
25/05/2020,0.759138006
26/05/2020,0.813486862
27/05/2020,0.793505766
28/05/2020,0.717643269
29/05/2020,0.717689226
30/05/2020,0.776940112
31/05/2020,0.743407177
01/06/2020,0.715141656
02/06/2020,0.703568733
03/06/2020,0.70801544
04/06/2020,0.870715735
05/06/2020,0.986390889
06/06/2020,0.939131654
07/06/2020,0.952109358
08/06/2020,0.902603617
09/06/2020,0.739552326
10/06/2020,0.952622811
11/06/2020,0.994909089
12/06/2020,1.002638072
13/06/2020,1.007953188
14/06/2020,1.011708337
15/06/2020,1.066394027
16/06/2020,1.112016905
17/06/2020,0.939241083
18/06/2020,0.763146235
19/06/2020,0.668257096
20/06/2020,0.698654512
21/06/2020,0.862109695
22/06/2020,1.019030021
23/06/2020,0.932887642
24/06/2020,1.120295954
25/06/2020,1.083039852
26/06/2020,1.198635134
27/06/2020,1.197178179
28/06/2020,1.051379369
29/06/2020,0.905286905
30/06/2020,0.984012986
01/07/2020,0.809985482
02/07/2020,0.839100956
03/07/2020,0.886241707
04/07/2020,1.071503066
05/07/2020,1.080862836
06/07/2020,1.065782926
07/07/2020,1.127696718
08/07/2020,1.250689308
09/07/2020,1.575425817
10/07/2020,1.489368154
11/07/2020,1.546921764
12/07/2020,1.481157963
13/07/2020,1.788991618
14/07/2020,1.872936833
15/07/2020,1.753418038
16/07/2020,1.588134919
17/07/2020,1.545265649
18/07/2020,1.512236169
19/07/2020,1.521004233
20/07/2020,1.314305559
21/07/2020,1.254610064
22/07/2020,1.214542411
23/07/2020,1.191575873
24/07/2020,1.118194551
25/07/2020,1.037166097
26/07/2020,0.936350138
27/07/2020,0.876057193
28/07/2020,0.806035688
29/07/2020,0.816327226
30/07/2020,0.783103847
31/07/2020,0.841449214
01/08/2020,0.78468157
02/08/2020,0.865967139
03/08/2020,0.915861863
04/08/2020,0.889285742
05/08/2020,0.841832516
06/08/2020,0.809274491
07/08/2020,0.742156504
